F1_Name,F2_Name,Date,Event,WeightClass,TitleFight,Result,EndRound,EndTime,F1_Reach_in,F2_Reach_in,F1_Height_in,F2_Height_in,F1_Win,F1_Loss,F1_StrikesLanded,F2_StrikesLanded,F1_StrikesAttempted,F2_StrikesAttempted
Amanda Nunes,Julia Budd,2011-01-07,Strikeforce Challengers 13,Women's Featherweight,FALSE,Knockout,1,0:14,69,67,68,67,TRUE,FALSE,11,3,19,6
Amanda Nunes,Alexis Davis,2011-09-10,Strikeforce - Barnett vs Kharitonov,Women's Bantamweight,FALSE,Knockout,2,4:53,69,68,68,66,FALSE,TRUE,66,126,109,168
Amanda Nunes,Sheila Gaff,2013-08-03,UFC 163: Aldo vs Jung,Women's Bantamweight,FALSE,Knockout,1,2:08,69,,68,65,TRUE,FALSE,16,5,25,10
Amanda Nunes,Germaine de Randamie,2013-11-06,UFC Fight Night: Fight for the Troops 3,Women's Bantamweight,FALSE,Knockout,1,3:56,69,71,68,69,TRUE,FALSE,23,1,67,6
Amanda Nunes,Cat Zingano,2014-09-27,UFC 178: Johnson vs Cariaso,Women's Bantamweight,FALSE,Knockout,3,1:21,69,68,68,66,FALSE,TRUE,36,93,54,116
Amanda Nunes,Shayna Baszler,2015-03-21,UFC Fight Night: Maia vs LaFlare,Women's Bantamweight,FALSE,Knockout,1,1:56,69,,68,67,TRUE,FALSE,17,1,20,8
Amanda Nunes,Sara McMann,2015-08-08,UFC Fight Night: Teixeira vs Saint Preux,Women's Bantamweight,FALSE,Submission,1,2:53,69,66,68,66,TRUE,FALSE,36,4,53,18
Amanda Nunes,Valentina Shevchenko,2016-03-05,UFC 196: McGregor vs Diaz,Women's Bantamweight,FALSE,Unanimous Decision,3,5:00,69,66,68,65,TRUE,FALSE,66,56,112,99
Amanda Nunes,Miesha Tate,2016-07-09,UFC 200: Tate vs Nunes,Women's Bantamweight,TRUE,Submission,1,3:16,69,66,68,66,TRUE,FALSE,40,3,63,15
Amanda Nunes,Ronda Rousey,2016-12-30,UFC 207: Nunes vs Rousey,Women's Bantamweight,TRUE,Knockout,1,0:48,69,66,68,67,TRUE,FALSE,27,7,47,14
Amanda Nunes,Valentina Shevchenko,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Women's Bantamweight,TRUE,Split Decision,5,5:00,69,66,68,65,TRUE,FALSE,90,85,180,209
Amanda Nunes,Raquel Pennington,2018-05-12,UFC 224: Nunes vs Pennington,Women's Bantamweight,TRUE,Knockout,5,2:36,69,67,68,67,TRUE,FALSE,152,79,288,186
Amanda Nunes,Cris Cyborg,2018-12-29,UFC 232: Jones vs Gustafsson 2,Women's Featherweight,TRUE,Knockout,1,0:51,69,68,68,68,TRUE,FALSE,13,3,21,15
Amanda Nunes,Holly Holm,2019-07-06,UFC 239: Jones vs Santos,Women's Bantamweight,TRUE,Knockout,1,4:10,69,69,68,68,TRUE,FALSE,17,14,36,17
Amanda Nunes,Germaine de Randamie,2019-12-14,UFC 245: Usman vs Covington,Women's Bantamweight,TRUE,Unanimous Decision,5,5:00,69,71,68,69,TRUE,FALSE,199,126,337,175
Amanda Nunes,Felicia Spencer,2020-06-06,UFC 250: Nunes vs Spencer,Women's Featherweight,TRUE,Unanimous Decision,5,5:00,69,68,68,66,TRUE,FALSE,132,70,222,161
Conor McGregor,Marcus Brimage,2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,Featherweight,FALSE,Knockout,1,1:07,74,71,69,64,TRUE,FALSE,22,12,36,41
Conor McGregor,Max Holloway,2013-08-17,UFC Fight Night: Shogun vs Sonnen,Featherweight,FALSE,Unanimous Decision,3,5:00,74,69,69,71,TRUE,FALSE,71,32,173,104
Conor McGregor,Diego Brandao,2014-07-19,UFC Fight Night: McGregor vs Brandao,Featherweight,FALSE,Knockout,1,4:05,74,64,69,67,TRUE,FALSE,37,10,68,23
Conor McGregor,Dustin Poirier,2014-09-27,UFC 178: Johnson vs Cariaso,Featherweight,FALSE,Knockout,1,1:46,74,72,69,69,TRUE,FALSE,9,10,29,19
Conor McGregor,Dennis Siver,2015-01-18,UFC Fight Night: McGregor vs Siver,Featherweight,FALSE,Knockout,2,1:54,74,70,69,66,TRUE,FALSE,65,33,120,105
Conor McGregor,Chad Mendes,2015-07-11,UFC 189: Mendes vs McGregor,Featherweight,TRUE,Knockout,2,4:57,74,66,69,66,TRUE,FALSE,74,36,120,53
Conor McGregor,Jose Aldo,2015-12-12,UFC 194: Aldo vs McGregor,Featherweight,TRUE,Knockout,1,0:13,74,70,69,67,TRUE,FALSE,5,1,6,3
Conor McGregor,Nate Diaz,2016-03-05,UFC 196: McGregor vs Diaz,Welterweight,FALSE,Submission,2,4:12,74,76,69,72,FALSE,TRUE,66,89,145,169
Conor McGregor,Nate Diaz,2016-08-20,UFC 202: Diaz vs McGregor 2,Welterweight,FALSE,Split Decision,5,5:00,74,76,69,72,TRUE,FALSE,197,252,322,435
Conor McGregor,Eddie Alvarez,2016-11-12,UFC 205: Alvarez vs McGregor,Lightweight,TRUE,Knockout,2,3:04,74,69,69,69,TRUE,FALSE,40,12,93,46
Conor McGregor,Khabib Nurmagomedov,2018-10-06,UFC 229: Khabib vs McGregor,Lightweight,TRUE,Submission,4,3:03,74,70,69,70,FALSE,TRUE,96,104,128,157
Conor McGregor,Donald Cerrone,2020-01-18,UFC 246: McGregor vs Cowboy,Welterweight,FALSE,Knockout,1,0:40,74,73,69,73,TRUE,FALSE,20,0,27,1
